country,iso_code,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,daily_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,daily_vaccinations_per_million,vaccines,source_name,year,month,continent
Argentina,ARG,2021-07-08,34430142,26028829,8401313,364592,75.5,57.07,18.42,7994,"CanSino, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",Ministry of Health,2021,July,South America
Argentina,ARG,2021-10-21,56931534,32066229,24958656,316659,124.83,70.31,54.73,6943,"CanSino, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",Ministry of Health,2021,October,South America
Argentina,ARG,2021-10-20,56722315,31916195,24898034,338428,124.38,69.98,54.59,7421,"CanSino, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",Ministry of Health,2021,October,South America
Argentina,ARG,2021-10-19,56217372,31547968,24758547,283252,123.27,69.18,54.29,6211,"CanSino, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",Ministry of Health,2021,October,South America
Argentina,ARG,2021-10-16,55605668,31177414,24514822,255095,121.93,68.36,53.75,5593,"CanSino, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",Ministry of Health,2021,October,South America
Argentina,ARG,2021-10-15,55103707,30878639,24308860,206235,120.83,67.71,53.3,4522,"CanSino, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",Ministry of Health,2021,October,South America
Argentina,ARG,2021-10-14,54714920,30629612,24167049,189740,119.97,67.16,52.99,4160,"CanSino, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",Ministry of Health,2021,October,South America
Argentina,ARG,2021-09-22,49729347,29157102,20602871,312262,109.04,63.93,45.18,6847,"CanSino, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",Ministry of Health,2021,September,South America
Argentina,ARG,2021-09-21,49331494,29081629,20276732,298380,108.17,63.77,44.46,6543,"CanSino, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",Ministry of Health,2021,September,South America
Argentina,ARG,2021-06-08,34134158,25950647,8183511,380441,74.85,56.9,17.94,8342,"CanSino, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",Ministry of Health,2021,June,South America
Argentina,ARG,2021-09-20,49017568,29032591,20011380,288833,107.48,63.66,43.88,6333,"CanSino, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",Ministry of Health,2021,September,South America
Argentina,ARG,2021-09-18,48572796,28968475,19623356,268844,106.51,63.52,43.03,5895,"CanSino, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",Ministry of Health,2021,September,South America
Argentina,ARG,2021-09-13,46995734,28721805,18274595,332605,103.05,62.98,40.07,7293,"CanSino, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",Ministry of Health,2021,September,South America
Argentina,ARG,2021-05-25,11242209,8807373,2434836,149834,24.65,19.31,5.34,3285,"CanSino, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",Ministry of Health,2021,May,South America
Argentina,ARG,2021-11-09,46690888,28679706,18011231,377387,102.38,62.89,39.49,8275,"CanSino, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",Ministry of Health,2021,November,South America
Argentina,ARG,2021-08-31,42260571,27873340,14387231,393247,92.66,61.12,31.55,8623,"CanSino, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",Ministry of Health,2021,August,South America
Argentina,ARG,2021-08-30,41930538,27797557,14132981,399545,91.94,60.95,30.99,8761,"CanSino, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",Ministry of Health,2021,August,South America
Argentina,ARG,2021-09-08,34902791,26179454,8723337,366771,76.53,57.4,19.13,8042,"CanSino, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",Ministry of Health,2021,September,South America
Argentina,ARG,2021-08-08,34624926,26076234,8548692,353734,75.92,57.18,18.74,7756,"CanSino, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",Ministry of Health,2021,August,South America
Argentina,ARG,2021-09-19,48830206,29013805,19842376,276491,107.07,63.62,43.51,6063,"CanSino, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",Ministry of Health,2021,September,South America
Argentina,ARG,2021-05-24,11149468,8735231,2414237,163805,24.45,19.15,5.29,3592,"CanSino, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",Ministry of Health,2021,May,South America
Argentina,ARG,2021-05-08,33735965,25806439,7929526,380023,73.97,56.59,17.39,8333,"CanSino, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",Ministry of Health,2021,May,South America
Argentina,ARG,2021-05-22,10958659,8638944,2319715,156577,24.03,18.94,5.09,3433,"CanSino, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",Ministry of Health,2021,May,South America
Argentina,ARG,2021-08-04,4771214,4064154,707060,106885,10.46,8.91,1.55,2344,"CanSino, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",Ministry of Health,2021,August,South America
Argentina,ARG,2021-07-04,4571819,3870734,701085,97127,10.02,8.49,1.54,2130,"CanSino, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",Ministry of Health,2021,July,South America
